概略,がいりゃく
海流,かいりゅう
改良,かいりょう
回路,かいろ
海路,かいろ
省みる,かえりみる
顧みる,かえりみる
課外,かがい
かかと,かかと
掻き回す,かきまわす
～画,～かく
格差,かくさ
学士,がくし
隔週,かくしゅう
楽譜,がくふ
確保,かくほ
賭,かけ
掛～,かけ～
～掛け,～かけ
崖,がけ
家計,かけい
加工,かこう
化合,かごう
かさむ,かさむ
頭,かしら
微か,かすか
霞む,かすむ
擦る,かする
火星,かせい
化石,かせき
河川,かせん
化繊,かせん
過疎,かそ
片～,かた～
傾ける,かたむける
花壇,かだん
家畜,かちく
且つ,かつ
合唱,がっしょう
合致,がっち
かつて,かつて
勝手,かって
カット,カット
カテゴリー,カテゴリー
叶う,かなう
かなわない,かなわない
予て,かねて
庇う,かばう
花粉,かふん
貨幣,かへい
過密,かみつ
カムバック,カムバック
カメラマン,カメラマン
粥,かゆ
体付き,からだつき
絡む,からむ
かりに,かりに
カルテ,カルテ
過労,かろう
かろうじて,かろうじて
交す,かわす
簡易,かんい
眼科,がんか
眼球,がんきゅう
玩具,がんぐ
看護,かんご
漢語,かんご
頑固,がんこ
監視,かんし
慣習,かんしゅう
観衆,かんしゅう
干渉,かんしょう
頑丈,がんじょう
感触,かんしょく
簡素,かんそ
感度,かんど
カンニング,カンニング
幹部,かんぶ
関与,かんよ
緩和,かんわ
議案,ぎあん
危害,きがい
企画,きかく
規格,きかく
気兼ね,きがね
気軽,きがる
危機,きき
効き目,ききめ
基金,ききん
喜劇,きげき
議決,ぎけつ
棄権,きけん
既婚,きこん
気障,きざ
記載,きさい
兆,きざし
気質,きしつ
期日,きじつ
きしむ,きしむ
傷付ける,きずつける
犠牲,ぎせい
汽船,きせん
寄贈,きぞう
偽造,ぎぞう
貴族,きぞく
議題,ぎだい
気立て,きだて
来る,きたる
規定,きてい
起点,きてん
軌道,きどう
技能,ぎのう
規範,きはん
気品,きひん
気風,きふう
起伏,きふく
規模,きぼ
期末,きまつ
記名,きめい
規約,きやく
逆転,ぎゃくてん
脚本,きゃくほん
客観,きゃっかん
救援,きゅうえん
休学,きゅうがく
窮屈,きゅうくつ
球根,きゅうこん
救済,きゅうさい
休戦,きゅうせん
宮殿,きゅうでん
窮乏,きゅうぼう
寄与,きよ
強,きょう
協会,きょうかい
共学,きょうがく
共感,きょうかん
境遇,きょうぐう
教訓,きょうくん
強行,きょうこう
強硬,きょうこう
教材,きょうざい
凶作,きょうさく
業者,ぎょうしゃ
興じる,きょうじる
強制,きょうせい
行政,ぎょうせい
業績,ぎょうせき
共存,きょうぞん
協定,きょうてい
脅迫,きょうはく
共鳴,きょうめい
強烈,きょうれつ
局限,きょくげん
極端,きょくたん
居住,きょじゅう
拒否,きょひ
きらびやか,きらびやか
～きり,～きり
義理,ぎり
切れ目,きれめ
疑惑,ぎわく
緊急,きんきゅう
吟味,ぎんみ
勤務,きんむ
クイズ,クイズ
食い違う,くいちがう
区画,くかく
区間,くかん
茎,くき
区切り,くぎり
くぐる,くぐる
愚痴,ぐち
口吟む,くちずさむ
朽ちる,くちる
覆す,くつがえす
ぐっと,ぐっと
首飾り,くびかざり
首輪,くびわ
蔵,くら
グレー,グレー
黒字,くろじ
軍事,ぐんじ
群集,ぐんしゅう
群衆,ぐんしゅう
軍備,ぐんび
芸,げい
経過,けいか
敬具,けいぐ
経費,けいひ
警部,けいぶ
展示,てんじ
天地,てんち
てんで,てんで
当～,とう～
胴,どう
同意,どうい
陶器,とうき
討議,とうぎ
動機,どうき
等級,とうきゅう
同級,どうきゅう
投資,とうし
同情,どうじょう
道場,どうじょう
統治,とうち
仕切る,しきる
資金,しきん
軸,じく
仕組,しくみ
死刑,しけい
湿気る,しける
施行,しこう
思考,しこう
志向,しこう
嗜好,しこう
事項,じこう
地獄,じごく
時差,じさ
自在,じざい
視察,しさつ
資産,しさん
支持,しじ
自主,じしゅ
自首,じしゅ
雫,しずく
施設,しせつ
事前,じぜん
子息,しそく
持続,じぞく
自尊心,じそんしん
慕う,したう
下心,したごころ
下地,したじ
下調べ,したしらべ
間柄,あいだがら
合間,あいま
敢えて,あえて
仰ぐ,あおぐ
垢,あか
赤字,あかじ
明かす,あかす
上がり,あがり
顎,あご
麻,あさ
あざ,あざ
浅ましい,あさましい
嘲笑う,あざわらう
悪しからず,あしからず
焦る,あせる
値,あたい
値する,あたいする
悪化,あっか
呆気ない,あっけない
あつらえる,あつらえる
圧力,あつりょく
当て,あて
～宛,～あて
当て字,あてじ
後回し,あとまわし
アプローチ,アプローチ
雨具,あまぐ
アマチュア,アマチュア
網,あみ
歩み,あゆみ
歩む,あゆむ
予め,あらかじめ
荒らす,あらす
改まる,あらたまる
荒っぽい,あらっぽい
アラブ,アラブ
霰,あられ
ありのまま,ありのまま
ありふれる,ありふれる
アルミ,アルミ
アワー,アワー
合わす,あわす
アンコール,アンコール
暗示,あんじ
いい加減,いいかげん
イェス,イェス
家出,いえで
生かす,いかす
いかに,いかに
異議,いぎ
行き違い,いきちがい
幾多,いくた
"(花を〜) 生ける, 活ける"
異見,いけん
意向,いこう
移行,いこう
いざ,いざ
いじる,いじる
異性,いせい
遺跡,いせき
依存,いぞん
委託,いたく
出題,しゅつだい
出動,しゅつどう
出品,しゅっぴん
守備,しゅび
準じる,じゅんじる
～署,～しょ
上演,じょうえん
消去,しょうきょ
上空,じょうくう
衝撃,しょうげき
証言,しょうげん
照合,しょうごう
詳細,しょうさい
昇進,しょうしん
称する,しょうする
情勢,じょうせい
消息,しょうそく
承諾,しょうだく
情緒,じょうちょ
情緒,じょうしょ
小児科,しょうにか
使用人,しようにん
情熱,じょうねつ
条約,じょうやく
上陸,じょうりく
奨励,しょうれい
ショー,ショー
職員,しょくいん
所持,しょじ
処置,しょち
書評,しょひょう
庶務,しょむ
調べ,しらべ
自立,じりつ
記す,しるす
指令,しれい
～心,～しん
陣,じん
進化,しんか
審議,しんぎ
審査,しんさ
紳士,しんし
進出,しんしゅつ
心情,しんじょう
心中,しんじゅう
進度,しんど
神秘,しんぴ
侵略,しんりゃく
診療,しんりょう
粋,すい
推理,すいり
数詞,すうし
据え付ける,すえつける
据える,すえる
救い,すくい
濯ぐ,すすぐ
進み,すすみ
裾,すそ
ストライキ,ストライキ
スト,スト
すばしこい,すばしこい
ずばり,ずばり
スプリング,スプリング
澄ます,すます
清ます,すます
済ます,すます
スラックス,スラックス
ずれ,ずれ
すれちがい,すれちがい
擦れる,すれる
成果,せいか
正義,せいぎ
星座,せいざ
生死,せいし
静止,せいし
成熟,せいじゅく
青春,せいしゅん
清純,せいじゅん
正常,せいじょう
税務署,ぜいむしょ
勢力,せいりょく
セール,セール
急かす,せかす
伜,せがれ
責務,せきむ
セクション,セクション
世辞,せじ
世帯,せたい
是正,ぜせい
世代,せだい
接触,せっしょく
接続詞,せつぞくし
設置,せっち
折衷,せっちゅう
攻め,せめ
ゼリー,ゼリー
セレモニー,セレモニー
世論,せろん
先,せん
繊維,せんい
宣教,せんきょう
専修,せんしゅう
戦術,せんじゅつ
センス,センス
先だって,せんだって
先着,せんちゃく
前途,ぜんと
潜入,せんにゅう
占領,せんりょう
善良,ぜんりょう
戦力,せんりょく
雑木,ぞうき
早急,そうきゅう
早急,さっきゅう
増強,ぞうきょう
蔵相,ぞうしょう
装飾,そうしょく
相場,そうば
装備,そうび
添える,そえる
ソース,ソース
そこら,そこら
素材,そざい
阻止,そし
育ち,そだち
措置,そち
素っ気無い,そっけない
外方,そっぽ
素朴,そぼく
背く,そむく
染まる,そまる
染める,そめる
そらす,そらす
反る,そる
ソロ,ソロ
揃い,そろい
ダース,ダース
大家,たいか
退化,たいか
退治,たいじ
大衆,たいしゅう
退職,たいしょく
対比,たいひ
タイピスト,タイピスト
大部,たいぶ
タイミング,タイミング
タイム,タイム
タイムリー,タイムリー
体力,たいりょく
タイル,タイル
対話,たいわ
耐える,たえる
堪える,たえる
絶える,たえる
断える,たえる
打開,だかい
焚火,たきび
たくましい,たくましい
巧み,たくみ
丈,たけ
打撃,だげき
妥結,だけつ
駄作,ださく
多数決,たすうけつ
助け,たすけ
携わる,たずさわる
抱っこ,だっこ
脱出,だっしゅつ
立て替える,たてかえる
奉る,たてまつる
だと,だと
辿り着く,たどりつく
辿る,たどる
他方,たほう
多忙,たぼう
給う,たまう
溜まり,たまり
保つ,たもつ
多様,たよう
だるい,だるい
弛み,たるみ
弛む,たるむ
垂れる,たれる
タワー,タワー
短歌,たんか
担架,たんか
短気,たんき
短縮,たんしゅく
炭素,たんそ
単調,たんちょう
旦那,だんな
短波,たんぱ
ダンプ,ダンプ
弾力,だんりょく
治安,ちあん
畜生,ちくしょう
地形,ちけい
知性,ちせい
乳,ちち
知的,ちてき
着手,ちゃくしゅ
着席,ちゃくせき
着目,ちゃくもく
着陸,ちゃくりく
着工,ちゃっこう
チャンネル,チャンネル
中継,ちゅうけい
忠告,ちゅうこく
中枢,ちゅうすう
抽選,ちゅうせん
中断,ちゅうだん
中毒,ちゅうどく
中腹,ちゅうふく
中立,ちゅうりつ
～著,～ちょ
腸,ちょう
蝶,ちょう
超,ちょう
調印,ちょういん
聴覚,ちょうかく
長官,ちょうかん
聴講,ちょうこう
調停,ちょうてい
重複,ちょうふく
長編,ちょうへん
重宝,ちょうほう
直面,ちょくめん
直感,ちょっかん
塵,ちり
追及,ついきゅう
通常,つうじょう
杖,つえ
使い道,つかいみち
司る,つかさどる
継目,つぎめ
尽きる,つきる
尽くす,つくす
作り,つくり
造り,つくり
告げる,つげる
筒,つつ
突く,つつく
勤め先,つとめさき
津波,つなみ
つねる,つねる
角,つの
募る,つのる
唾,つば
つぶら,つぶら
壷,つぼ
蕾,つぼみ
手当,てあて
定義,ていぎ
提供,ていきょう
提示,ていじ
定食,ていしょく
でかい,でかい
手数,てかず
手軽,てがる
適宜,てきぎ
手際,てぎわ
手数,てすう
手近,てぢか
手配,てはい
手筈,てはず
手引,てびき
手本,てほん
手元,てもと
照り返す,てりかえす
テレックス,テレックス
手分け,てわけ
天,てん
天下,てんか
連休,れんきゅう
レンジ,レンジ
レンタカー,レンタカー
連中,れんちゅう
レントゲン,レントゲン
浪費,ろうひ
労力,ろうりょく
ロープ,ロープ
